Filing Period,Taxable Amount,Total AmountDue,Date Paid,Name,Street Address,City,State,Zip
18-Mar,13658.65,4097.59,4/16/2018,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-Mar,237.5,71.25,4/18/2018,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
18-Mar,166.25,49.87,4/4/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
18-Mar,46264.27,13879.28,4/20/2018,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
18-Mar,23.04,6.91,4/25/2018,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
18-Mar,23110.37,6933.11,4/26/2018,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
18-Mar,1467.1,440.13,4/24/2018,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
18-Mar,68498.96,20549.68,4/18/2018,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
18-Mar,1041.73,312.51,4/13/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Mar,3854.12,1156.23,4/7/2018,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
20-Nov,5753.86,1726.15,12/18/2020,"RJR Vapor Co., LLC",P.O. Box 2959,Winston Salem,NC,27101-2959
18-Mar,789.43,236.82,4/30/2018,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
18-Mar,3170,951,4/28/2018,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
18-Mar,934,280.2,4/30/2018,VapeCulture LLC,18959 Bonanza Way,Gaithersburg,MD,20879
18-Mar,5965,1789.5,5/1/2018,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
18-Apr,118.75,35.62,5/2/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
18-Apr,658.55,197.56,5/2/2018,Noon LLC,7902 georgia ave,silver spring,md,20910
18-Jul,3195,958.5,9/13/2018,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
18-Aug,256.75,77.02,9/3/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
18-Apr,14727,4418.1,5/7/2018,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
18-Apr,701.16,210.34,5/10/2018,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
18-Apr,47.5,14.25,5/16/2018,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
18-Apr,10118.45,3035.53,5/16/2018,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-Apr,521.6,156.48,5/17/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Aug,12682.25,3804.67,9/14/2018,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
18-Nov,2130.5,639.15,12/9/2018,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
19-Feb,2479,743.7,3/4/2019,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
